LAMMPS data file via write_data.

510 atoms
2 atom types

0. 19.45 xlo xhi
0. 19.45 ylo yhi
0. 19.45 zlo zhi

Masses

1 106.4
2 1.0079

Atoms # atomic

384 1 0. 17.505 13.615
483 1 1.945 15.56 17.505
484 1 0. 17.505 17.505
207 1 5.835 0. 9.725
208 1 3.89 1.945 9.725
307 1 5.835 0. 13.615
308 1 3.89 1.945 13.615
407 1 5.835 0. 17.505
408 1 3.89 1.945 17.505
227 1 5.835 3.89 9.725
228 1 3.89 5.835 9.725
327 1 5.835 3.89 13.615
328 1 3.89 5.835 13.615
427 1 5.835 3.89 17.505
428 1 3.89 5.835 17.505
247 1 5.835 7.78 9.725
248 1 3.89 9.725 9.725
347 1 5.835 7.78 13.615
348 1 3.89 9.725 13.615
447 1 5.835 7.78 17.505
448 1 3.89 9.725 17.505
267 1 5.835 11.67 9.725
268 1 3.89 13.615 9.725
367 1 5.835 11.67 13.615
368 1 3.89 13.615 13.615
467 1 5.835 11.67 17.505
468 1 3.89 13.615 17.505
287 1 5.835 15.56 9.725
288 1 3.89 17.505 9.725
387 1 5.835 15.56 13.615
388 1 3.89 17.505 13.615
487 1 5.835 15.56 17.505
488 1 3.89 17.505 17.505
211 1 9.725 0. 9.725
212 1 7.78 1.945 9.725
311 1 9.725 0. 13.615
312 1 7.78 1.945 13.615
411 1 9.725 0. 17.505
412 1 7.78 1.945 17.505
231 1 9.725 3.89 9.725
232 1 7.78 5.835 9.725
331 1 9.725 3.89 13.615
332 1 7.78 5.835 13.615
431 1 9.725 3.89 17.505
432 1 7.78 5.835 17.505
251 1 9.725 7.78 9.725
252 1 7.78 9.725 9.725
351 1 9.725 7.78 13.615
352 1 7.78 9.725 13.615
451 1 9.725 7.78 17.505
452 1 7.78 9.725 17.505
271 1 9.725 11.67 9.725
272 1 7.78 13.615 9.725
371 1 9.725 11.67 13.615
372 1 7.78 13.615 13.615
471 1 9.725 11.67 17.505
472 1 7.78 13.615 17.505
291 1 9.725 15.56 9.725
292 1 7.78 17.505 9.725
391 1 9.725 15.56 13.615
392 1 7.78 17.505 13.615
491 1 9.725 15.56 17.505
492 1 7.78 17.505 17.505
215 1 13.615 0. 9.725
216 1 11.67 1.945 9.725
315 1 13.615 0. 13.615
316 1 11.67 1.945 13.615
415 1 13.615 0. 17.505
416 1 11.67 1.945 17.505
235 1 13.615 3.89 9.725
236 1 11.67 5.835 9.725
335 1 13.615 3.89 13.615
336 1 11.67 5.835 13.615
435 1 13.615 3.89 17.505
436 1 11.67 5.835 17.505
255 1 13.615 7.78 9.725
256 1 11.67 9.725 9.725
355 1 13.615 7.78 13.615
356 1 11.67 9.725 13.615
455 1 13.615 7.78 17.505
456 1 11.67 9.725 17.505
275 1 13.615 11.67 9.725
276 1 11.67 13.615 9.725
375 1 13.615 11.67 13.615
376 1 11.67 13.615 13.615
475 1 13.615 11.67 17.505
476 1 11.67 13.615 17.505
295 1 13.615 15.56 9.725
296 1 11.67 17.505 9.725
395 1 13.615 15.56 13.615
396 1 11.67 17.505 13.615
495 1 13.615 15.56 17.505
496 1 11.67 17.505 17.505
219 1 17.505 0. 9.725
220 1 15.56 1.945 9.725
319 1 17.505 0. 13.615
320 1 15.56 1.945 13.615
419 1 17.505 0. 17.505
420 1 15.56 1.945 17.505
239 1 17.505 3.89 9.725
240 1 15.56 5.835 9.725
339 1 17.505 3.89 13.615
340 1 15.56 5.835 13.615
439 1 17.505 3.89 17.505
440 1 15.56 5.835 17.505
259 1 17.505 7.78 9.725
260 1 15.56 9.725 9.725
359 1 17.505 7.78 13.615
360 1 15.56 9.725 13.615
459 1 17.505 7.78 17.505
460 1 15.56 9.725 17.505
279 1 17.505 11.67 9.725
280 1 15.56 13.615 9.725
379 1 17.505 11.67 13.615
380 1 15.56 13.615 13.615
